date,Open,High,Low,Values,Adj Close,Volume
27-01-2022,272.5,274.3999939,266.5,272.3999939,270.6811829,3496748
28-01-2022,275.8999939,282.8999939,274.4500122,275.75,274.0100403,2648109
31-01-2022,278.8999939,282.25,276.4500122,277.2999878,275.5502319,1807608
01-02-2022,279.7999878,287.75,273.3999939,286.3500061,284.5431519,5235388
02-02-2022,289,291.7999878,285.2999878,287.5499878,285.7355652,2569520
03-02-2022,289,294.7000122,286,288.1499939,286.3317871,3782701
04-02-2022,289.8999939,293.7000122,284.5499878,285.6000061,283.7978821,3498000
07-02-2022,286.8999939,291.2999878,281.0499878,282.7000122,280.9161987,2783878
08-02-2022,283.9500122,285.5,271.1499939,278.5,276.7426758,2940736
09-02-2022,278.9500122,285.8999939,278.9500122,284.75,282.9532471,2379062
10-02-2022,286,290,283.25,288.25,286.4311523,2392907
11-02-2022,285,285.7000122,276.7999878,278.1499939,276.3948975,2875657
14-02-2022,269,273.75,256.2000122,258,256.3720398,3659736
15-02-2022,260,279,256,277.25,275.5005798,5363984
16-02-2022,279.8500061,279.8500061,272.0499878,273.4500122,271.7245483,2471997
17-02-2022,274.8999939,280.9500122,272.2999878,275.4500122,273.7119446,2846940
18-02-2022,272.7000122,277.8999939,271.2999878,272.7000122,270.9793091,1611060
21-02-2022,271.7999878,272.4500122,261.6499939,265.2999878,263.6259766,3359259
22-02-2022,256.5,261.5,249.6000061,257.8500061,256.2229919,5733515
23-02-2022,261.5,269.5,260.2999878,268,266.3089294,3911332
24-02-2022,256,263.9500122,242.3999939,244.6499939,243.1062775,7105332
25-02-2022,255.4499969,262.5,252.6000061,259,257.3657227,4371266
28-02-2022,258.7000122,265,256,263.1499939,261.4895325,4502455
02-03-2022,259.6000061,264.6499939,257.1000061,262.5,260.8436584,2692625
03-03-2022,265.0499878,269.3999939,262.5499878,264.7000122,263.0297852,2366248
04-03-2022,261.8999939,265.8500061,256.3500061,258.3999939,256.7695007,3374741
07-03-2022,251,254.6999969,244.1000061,250.8000031,249.2174683,2931763
08-03-2022,252,261.25,251.6499939,260.2000122,258.5581665,2490488
09-03-2022,263,275,262.25,273.1499939,271.4264526,4143873
10-03-2022,275.8999939,278.8500061,271.0499878,273.3500061,271.6251831,3458082
11-03-2022,272,286,271.3999939,282,280.2206116,8214707
14-03-2022,282,288.9500122,276.5,287.25,285.4374695,4153463
15-03-2022,288.7000122,288.7000122,274.3500061,277.3999939,275.6496277,3184246
16-03-2022,281.2999878,285,280.1000061,283.0499878,281.2639771,1798437
17-03-2022,286.1000061,288,283,285.3500061,283.549469,2298939
21-03-2022,287.7000122,318.8500061,284.75,312.75,310.7765808,22746266
22-03-2022,312.75,312.75,297.5,304.5499878,302.6282959,14331683
23-03-2022,306.75,319.5,303.7000122,306.1499939,304.2182007,11167590
24-03-2022,305.7999878,314.7000122,303.25,313.0499878,311.0746765,5508043
25-03-2022,315,323,314.3500061,320.1499939,318.1298828,13786602
28-03-2022,322.7999878,329.7999878,315.7999878,319.8500061,317.8317871,13106507
29-03-2022,321.7000122,332.75,318.2000122,330.2000122,328.1164856,8861623
30-03-2022,332.7000122,332.7000122,323,324.7000122,322.6511841,3792087
31-03-2022,324.8999939,336,323.1000061,330.0499878,327.9674072,7277335
01-04-2022,329.9500122,337.7999878,329.2000122,333,330.8988037,4468514
04-04-2022,336.4500122,339,332.1000061,333.6499939,331.5446777,2614709
05-04-2022,336.5,336.6000061,322,324.0499878,322.005249,4488068
06-04-2022,323,339.7000122,321.5499878,332.7000122,330.600708,7271609
07-04-2022,334.2000122,335.7999878,324.6000061,325.7000122,323.6448669,3622058
08-04-2022,327.8999939,332.25,326,328.4500122,326.3775024,2815901
11-04-2022,329,332.7000122,320.1000061,322.4500122,320.4153748,5450436
12-04-2022,316.2000122,318.8999939,308.5499878,317.2000122,315.1985168,8727325
13-04-2022,320,321.7999878,307.1000061,308.0499878,306.1062012,4531054
18-04-2022,304.8500061,311.3999939,301.2999878,303.8999939,301.9824219,2946931
19-04-2022,307,308.4500122,290,295.4500122,293.5857544,3185384
20-04-2022,295.4500122,300,286.2000122,288.3500061,286.5305481,3455105
21-04-2022,291.6499939,294.5,288.25,292.3500061,290.5053101,2944163
22-04-2022,290.8500061,296.5499878,284.3999939,285.3500061,283.549469,2943418
25-04-2022,280.7999878,283.9500122,271.25,272.4500122,270.7308655,3064976
26-04-2022,276,278.5,270.25,271.6000061,269.8862305,2271218
27-04-2022,268.1000061,274.4500122,265.1499939,270.5499878,268.8428345,3390853
28-04-2022,273.3999939,273.3999939,266.1499939,270.1000061,268.3956909,2541385
29-04-2022,272,277.75,263.6499939,266.0499878,264.3712463,3323319
02-05-2022,261.9500122,265.5499878,256.7000122,264.8999939,263.2284851,2925169
04-05-2022,266,270.7000122,258,259.5499878,257.9122314,2576537
05-05-2022,262,264.1499939,253.1000061,254.75,253.1425476,1795109
06-05-2022,250,253.1999969,246.4499969,250.1000061,248.5218964,2370397
09-05-2022,248,250.3500061,243.8000031,245,243.454071,1850391
10-05-2022,246.3999939,254.8000031,230.0500031,233.4499969,231.976944,5350726
11-05-2022,234,237.3999939,215.3500061,229.1999969,227.7537689,4800632
12-05-2022,227,227.6999969,218.0500031,221.3999939,220.0029755,2617392
13-05-2022,226.6499939,231.6999969,220.1000061,222.1999969,220.7979279,2384684
16-05-2022,226.25,231.6999969,223.9499969,227.6000061,226.1638641,2969489
17-05-2022,230.0500031,244.8000031,228.3000031,242.1999969,240.6717377,4190160
18-05-2022,239.8999939,245.6000061,223.1499939,227.8999939,226.4619598,10818317
19-05-2022,222,230.8000031,220,228.3999939,226.9588013,3545614
20-05-2022,233,235.6999969,226.0500031,234.25,232.7718964,3000984
23-05-2022,237.1499939,241.8000031,230.3000031,233.0500031,231.5794678,2487720
24-05-2022,235.5,237.25,230.5500031,233.1499939,231.678833,1936566
25-05-2022,234.6499939,234.6499939,209.3999939,211.1499939,209.8176575,7342084
26-05-2022,212,217.8999939,204.4499969,215.1999969,213.8421021,7083772
27-05-2022,219,224.8999939,214.9499969,216.1000061,214.7364349,4653247
30-05-2022,220.1000061,227.5500031,217.9499969,225.3999939,223.9777374,4192182
31-05-2022,225,227.8000031,217.1000061,218.3999939,217.0219116,4790057
01-06-2022,219.3999939,223.4499969,202.5,212.1999969,210.8610229,10695753
02-06-2022,217,219.6000061,207.25,209.75,208.4264984,8314072
03-06-2022,215,215.5,204.5,207.3999939,206.0913086,8040506
06-06-2022,205,207.1000061,197.5,202.6000061,201.3216095,6062195
07-06-2022,203,203.3000031,195.5,197,195.7569427,4918847
08-06-2022,199,199.1999969,193.8000031,194.4499969,193.2230377,3392197
09-06-2022,192.1499939,196,190,194.25,193.024292,3160728
10-06-2022,192.25,199.1000061,190.1000061,191.8999939,190.6891174,4692745
13-06-2022,186.8000031,189.4499969,178.8000031,179.8999939,178.7648315,4648765
14-06-2022,182,191.8000031,181.6000061,183.8500061,182.6899261,9081810
15-06-2022,185.8000031,187.3500061,173.8999939,176.3500061,175.2372437,5136691
16-06-2022,177.9499969,178.8500061,162.1000061,163.8999939,162.865799,7653223
17-06-2022,163.6999969,187.3999939,163.1000061,184.1999969,183.0377045,48383900
20-06-2022,181.3000031,182.6999969,166.6499939,175,173.8957672,18029043
21-06-2022,177,183,173.5,179.1499939,178.019577,14595743
22-06-2022,177.6000061,182.8999939,170.1999969,173.9499969,172.8523865,10462475
23-06-2022,175.5,177.3999939,168.5,172.9499969,171.8586884,6357883
24-06-2022,175,175.9499969,170.0500031,171.8999939,170.8153229,3541411
27-06-2022,172,179,170.6000061,176.8000031,175.6844025,6392025
28-06-2022,175.3500061,179.5,173.0500031,177.8999939,176.7774506,4418997
29-06-2022,174.5500031,191,172.3000031,180.8500061,179.7088623,26015763
30-06-2022,181.8000031,184.8999939,165.1000061,166.4499969,165.399704,18094204
01-07-2022,167.0500031,174.5500031,166,172.8500061,171.7593384,10179569
04-07-2022,172.5500031,176.8500061,172.1000061,173.1999969,172.1071167,5943152
05-07-2022,174,174.6000061,168,168.4499969,167.387085,4680193
06-07-2022,169.8000031,174.75,167.6499939,173.1000061,172.0077515,6125997
07-07-2022,174.8999939,176,170.3999939,174.1000061,173.0014496,4493977
08-07-2022,175,181,173.9499969,179.5500031,178.4170532,8687586
11-07-2022,178.3000031,183.6000061,177.6999969,180.9499969,179.8082123,7275843
12-07-2022,180.8000031,181.5,172.3000031,179.6999969,178.5661011,12621296
13-07-2022,184,184,177.25,180.1000061,178.9635925,17545899
14-07-2022,180,181.8999939,175.5,177.5500031,176.4296722,4042171
15-07-2022,178.8999939,178.8999939,175.75,176.4499969,175.3366089,1900811
18-07-2022,178,179.25,175.8000031,177.5500031,176.4296722,1985447
19-07-2022,177,181.6999969,176.1499939,178.3500061,177.2246246,2806832
20-07-2022,180,181.6499939,177.1000061,179,177.8705292,2184616
21-07-2022,179,180.8000031,178,179.0500031,177.9202118,1324244
22-07-2022,180.1499939,180.6000061,177.6999969,178.5,177.3736725,1443768
25-07-2022,177.6999969,185.75,176.5,184.6000061,183.4351959,6057461
26-07-2022,185.1000061,197.1999969,185.1000061,193.0500031,191.8318787,22678554
27-07-2022,194,194.3999939,189.3000031,193.1999969,191.9809265,3745313
28-07-2022,194.25,196.1999969,189.75,193.25,192.0306091,6544690
29-07-2022,195.8999939,202.5,193.4499969,198.1499939,196.8996887,12807113
01-08-2022,198.9499969,207.8000031,196.6000061,205.6000061,204.3026886,8750682
02-08-2022,204.3500061,207.3999939,194.3999939,200.5500031,199.2845459,5110870
03-08-2022,200,201.6499939,195,198.1000061,196.8500061,2811668
04-08-2022,198.4499969,199.8000031,191.25,194.8999939,194.8999939,3313185
05-08-2022,195,203.1999969,193.6000061,194.5500031,194.5500031,5502632
08-08-2022,195.6999969,196.6000061,190.8000031,193.5500031,193.5500031,2253046
10-08-2022,194.5,195.3000031,191.3999939,192.9499969,192.9499969,1859794
11-08-2022,195,197.6499939,192.9499969,195.75,195.75,1918920
12-08-2022,194.5,197,193.8000031,195.5,195.5,1538269
16-08-2022,195.5,199,195.1000061,196.4499969,196.4499969,1763875
17-08-2022,196.9499969,199.8000031,196.5,198.1000061,198.1000061,2049848
18-08-2022,198.1000061,203.9499969,198.1000061,202,202,5034171
19-08-2022,202,206.75,199.1000061,201.9499969,201.9499969,4634674
22-08-2022,202,203.6999969,198,202,202,4337461
23-08-2022,200.5,212,198.3000031,209.3500061,209.3500061,12576439
24-08-2022,210,215.9499969,210,212.3999939,212.3999939,9871576
25-08-2022,214.1999969,215.8500061,209.6000061,210.8500061,210.8500061,4430307
26-08-2022,211.8000031,217.8999939,211.0500031,214.4499969,214.4499969,7425292
29-08-2022,205.1000061,211.3999939,204,209.4499969,209.4499969,3874808
30-08-2022,211.1499939,214.1499939,210.1000061,211.4499969,211.4499969,3248618
01-09-2022,210,212.5,206.1000061,208.4499969,208.4499969,3231060
02-09-2022,210.5,216.8500061,209.1000061,211.1499939,211.1499939,7982527
05-09-2022,211.4499969,214.5,208.6000061,211.4499969,211.4499969,4191202
06-09-2022,212.1999969,212.5500031,208,208.5,208.5,2050719
07-09-2022,207.6999969,209.8999939,206.75,209.1499939,209.1499939,1568128
08-09-2022,210.6000061,212.3000031,209.1000061,209.8500061,209.8500061,1671690
